text,sentiment
agree the poor in india are treated badly their poors seek a living in singapore and are treated like citizens they are given free medical treatment given food daily sim cards to call home to tell their family that they are fine if covid 19 case treated foc in hospitals,sadness
if only i could have spent the with this cutie vc sakshi__s i n g h coast crossing republik â¦,enjoyment
will nature conservation remain a priority in post corona bangladesh | the daily star,enjoyment
"coronavirus disappearing in italy show this to ""intellectuals"" who say lockdowns do not work â¦",sadness
uk records lowest daily virus death toll since start of lockdown govt,sadness
joe biden's coronavirus web address lands on a donation page for his campaign he is profiting from fear demopos,fear
respected sir in our telangana all private teachers and lecturers are in horrible situations due to covid 19 and mainly private management (chaithanya nd narayana) b'caz they told to all faculty's like âno work no pay â so pls take the action nd save their life's,sadness
so is also 20 times more lethal than influenza think about that,fear
thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet &share,sadness
thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share,sadness
coronavirus has a 3 4% mortality rate the flu is 0 1% they are completely different your logic is like saying a bugatti and a peugeot are the same thing because they are both âcars',fear
| is officially free city and the celebration goes on,enjoyment
what worries me most these days me and a lot other people is now on the matter i'd like to say only that the drastic division among ourselves is the only reason why as a species (the only smart one someone thinks) in the universe mind you 1/5,fear
â¦ i do not understand the point of demanding enough time before lockdown italy has suffered because of half hearted attempts and so is us now pm being the highest decision making authority has to take the decision,sadness
you all know one thing the muslims will not fight us for the toilet paper,anger
covid 19 cyclones earthquakes riots still we humans have not learnt a simple lesson to live and let live when we cannot let live then we do not have the right right to live let god destroy this evil world this proved again that not to believe humans loudly_crying_face,sadness
i will fill my heart to your soul during covid 19 break out on the world,sadness
maybe if i bolt my front door shut coronavirus will stay out,anger
may be a solution to corona virus get some of that on you and no one will come around,fear
here are 13 claims has made about coronavirus that have already been disputed # xmbvwlnwqes twitter â¦,anger
phew i was sooo worried with the shortage of tests available for the general public i was worried about our sports celebrities not being properly cared for but thank goodness am i right,fear
they will not spread â¦,enjoyment
idiot no comparison with obama's response according to ronald klain obama administration tested 1 million people for h1n1 in the first month after the first us diagnosed case the first us case was 50+ days ago and you have not event tested 10 000 people yet,anger
state governors decide when their schls & businesses can reopen (not the wh) without universal frequent testing we cannot isolate the infected we cannot stop the spread of pls call ur governor asap keep ur community safe usa,fear
finally accepts thanks to godi media,enjoyment
two weeks ago i celebrated my birthday with a picnic on the beach ten days into lockdown here in goa and this feels like a very long time ago â¦ â¦,enjoyment
las vegas trip booked fuck the coronavirus,fear
good morning twittizens wish you a corona free day,enjoyment
